country,year,section_code,section_name_en,program_code,program_description,line_description,amount_local,currency,rd_category,pillar,decision,confidence,source_file,page_number
Denmark,1980,§20,Ministry of Education,53.06,Det kongelige danske videnskabernes selskab til undersøgelse,53.06 Det kongelige danske videnskabernes selskab til undersøgelse,15000,DKK,direct_rd,Direct R&D,include,0.99,1980 19792_L1_som_vedtaget.pdf,111
Denmark,1981,§20,Ministry of Education,53.06,Det kongelige danske videnskabernes selskab til undersøgelse,53.06 Det kongelige danske videnskabernes selskab til undersøgelse,15000,DKK,direct_rd,Direct R&D,include,0.99,1981 19801_L1_som_vedtaget.pdf,118
Denmark,1982,§20,Ministry of Education,53.06,Det kongelige danske videnskabernes selskab til undersøgelse,53.06 Det kongelige danske videnskabernes selskab til undersøgelse,15000,DKK,direct_rd,Direct R&D,include,0.99,1982 19812_L1_som_vedtaget.pdf,111
Denmark,1983,§20,Ministry of Education,53.06,Det kongelige danske videnskabernes selskab til undersøgelse,53.06 Det kongelige danske videnskabernes selskab til undersøgelse,15000,DKK,direct_rd,Direct R&D,include,0.99,1983 19821_L1_som_vedtaget.pdf,113
Denmark,1984,§20,Ministry of Education,53.06,Det kongelige danske videnskabernes selskab til undersøgelse,53.06 Det kongelige danske videnskabernes selskab til undersøgelse,15000,DKK,direct_rd,Direct R&D,include,0.99,1984 19832_L1_som_vedtaget.pdf,139
Denmark,1978,§20,Ministry of Education,53.07,Det kgl. danske videnskabernes Selskab til undersøgelse,53.07 Det kgl. danske videnskabernes Selskab til undersøgelse,11000,DKK,direct_rd,Direct R&D,include,0.99,1978 19771_L101_som_vedtaget.pdf,107
Denmark,1979,§17,Ministry of Trade,03.21,Teknologirådet og Statens Tekniske Prøvenævn,03.21 Teknologirådet og Statens Tekniske Prøvenævn,179404000,DKK,innovation_system,Innovation,include,0.95,1979 9781_L1_som_vedtaget.pdf,83
Denmark,1984,§20,Ministry of Education,09.04,Den europæiske rumorganisation (ESA),09.04 Den europæiske rumorganisation (ESA),86100000,DKK,institution_funding,Institutional,review,0.99,1984 19832_L1_som_vedtaget.pdf,140
Denmark,1983,§20,Ministry of Education,09.04,Den europæiske rumorganisation (ESA),09.04 Den europæiske rumorganisation (ESA),77270000,DKK,institution_funding,Institutional,review,0.99,1983 19821_L1_som_vedtaget.pdf,114
Denmark,1982,§20,Ministry of Education,09.04,Den europæiske rumorganisation (ESA),09.04 Den europæiske rumorganisation (ESA),64740000,DKK,institution_funding,Institutional,review,0.99,1982 19812_L1_som_vedtaget.pdf,112
