year,canonical_name,category,amount_local,unit,currency,item_type,source_file,page_number,pdf_path,full_text_cache,line_description_en,traceability_status,trace_method,trace_excerpt,series_notes
2018,ICA (Instituto Colombiano Agropecuario),science_agency,104912194555.0,unit,COP,section_total,pdf_13b9ce28bd17__2018_Ley_1873_de_2017.txt,0.0,,,SECCION: 1702 INSTITUTO COLOMBIANO AGROPECUARIO (ICA) A. PRESUPUESTO DE FUNCIONAMIENTO,covered_by_final_series,,,
2018,"IDEAM (Instituto de Hidrología, Meteorología y Estudios Ambientales)",science_agency,44340876000.0,unit,COP,section_total,pdf_13b9ce28bd17__2018_Ley_1873_de_2017.txt,0.0,,,"INSTITUTO DE HIDROLOGÍA, METEOROLOGÍA Y ESTUDIOS AMBIENTALES - IDEAM A. PRESUPUESTO DE FUNCIONAMIENTO",covered_by_final_series,,,
2018,INM (Instituto Nacional de Metrología),science_agency,12244605034.0,unit,COP,section_total,pdf_13b9ce28bd17__2018_Ley_1873_de_2017.txt,0.0,,,SECCION: 3505 INSTITUTO NACIONAL DE METROLOGÍA - INM A. PRESUPUESTO DE FUNCIONAMIENTO,covered_by_final_series,,,
2018,Instituto Nacional de Salud (Colombia),science_agency,33804038000.0,unit,COP,section_total,pdf_13b9ce28bd17__2018_Ley_1873_de_2017.txt,0.0,,,SECCION: 1903 INSTITUTO NACIONAL DE SALUD (INS) A. PRESUPUESTO DE FUNCIONAMIENTO,covered_by_final_series,,,
2018,SENA — R&D and Innovation (Servicio Nacional de Aprendizaje),innovation_instruments,203000000000.0,unit,COP,section_total,pdf_13b9ce28bd17__2018_Ley_1873_de_2017.txt,0.0,,,"FOMENTO DE LA INVESTIGACIÓN, DESARROLLO TECNOLÓGICO E INNOVACIÓN DEL SECTOR TRABAJO",covered_by_final_series,,,"SECCIÓN 3602. Include only R&D/innovation investment sub-programmes, not pure vocational training."
2018,iNNpulsa Colombia,innovation_instruments,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2019,AGROSAVIA / CORPOICA (agricultural research),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2019,Fondo Francisco José de Caldas,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2019,ICA (Instituto Colombiano Agropecuario),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2019,"IDEAM (Instituto de Hidrología, Meteorología y Estudios Ambientales)",science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2019,INM (Instituto Nacional de Metrología),science_agency,26498854982.0,unit,COP,section_total,pdf_35ed8a7d97b1__2019_Decreto_2467_Anexo.txt,-1.0,,,INSTITUTO NACIONAL DE METROLOGIA - INM,covered_by_final_series,,,
2019,Instituto Nacional de Salud (Colombia),science_agency,63433976618.0,unit,COP,section_total,pdf_35ed8a7d97b1__2019_Decreto_2467_Anexo.txt,-1.0,,,INSTITUTO NACIONAL DE SALUD (INS),covered_by_final_series,,,
2019,"MinCiencias (Ministerio de Ciencia, Tecnología e Innovación)",science_agency,356680983876.0,unit,COP,section_total,pdf_35ed8a7d97b1__2019_Decreto_2467_Anexo.txt,-1.0,,,"MINISTERIO DE CIENCIA, TECNOLOGIA E INNOVACION",covered_by_final_series,,,Replaced COLCIENCIAS from 2019. Created by Ley 1951 de 2019.
