year,canonical_name,category,amount_local,unit,currency,item_type,source_file,page_number,pdf_path,full_text_cache,line_description_en,traceability_status,trace_method,trace_excerpt,series_notes
2015,ANI — Agência Nacional de Inovação (Portugal),rd_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2015,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,426506331.0,euro,EUR,verified_override,Lei orcamento para 2015.pdf,125,Data/input/finance_bills/Portugal/Lei orcamento para 2015.pdf,,"FUNDAÇÃO PARA A CIÊNCIA E TECNOLOGIA, I.P.",verified_against_original_file,,,Primary R&D funder from 1997. Amounts in full EUR (2002+) or PTE (pre-2002).; manual override from original Portugal budget file (MAPA VII / 2015 autonomous-services table)
2015,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),research_institute,65587229.0,euro,EUR,verified_override,Lei orcamento para 2015.pdf,122,Data/input/finance_bills/Portugal/Lei orcamento para 2015.pdf,,LABORATÓRIO NACIONAL DE ENGENHARIA CIVIL,verified_against_original_file,,,manual override from original Portugal budget file (MAPA VII / 2015 deterministic page-aligned parser)
2016,ANI — Agência Nacional de Inovação (Portugal),rd_agency,9399812.0,euro,EUR,verified_override,Lei orcamento para 2016.pdf,108,Data/input/finance_bills/Portugal/Lei orcamento para 2016.pdf,,"AGENCIA NACIONAL DE INOVAÇAO, SA",verified_against_original_file,,,manual override from original Portugal budget file (MAPA VII / 2016 deterministic page-aligned parser)
2016,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,425726708.0,euro,EUR,verified_override,Lei orcamento para 2016.pdf,102,Data/input/finance_bills/Portugal/Lei orcamento para 2016.pdf,,"FUNDAÇÃO PARA A CIÊNCIA E TECNOLOGIA, I.P.",verified_against_original_file,,,Primary R&D funder from 1997. Amounts in full EUR (2002+) or PTE (pre-2002).; manual override from original Portugal budget file (2016 autonomous-services table)
2016,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),research_institute,46466908.0,euro,EUR,verified_override,Lei orcamento para 2016.pdf,107,Data/input/finance_bills/Portugal/Lei orcamento para 2016.pdf,,LABORATÓRIO NACIONAL DE ENGENHARIA CIVIL,verified_against_original_file,,,manual override from original Portugal budget file (MAPA VII / 2016 deterministic page-aligned parser)
2017,ANI — Agência Nacional de Inovação (Portugal),rd_agency,7908853.0,euro,EUR,verified_override,2017 Lei_42_2016-OE2017_VersaoDR.pdf,119,Data/input/finance_bills/Portugal/2017 Lei_42_2016-OE2017_VersaoDR.pdf,,"AGENCIA NACIONAL DE INOVAÇAO, SA",verified_against_original_file,,,manual override from original Portugal budget file (MAPA VII / 2017 deterministic page-aligned parser)
2017,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,444782248.0,euro,EUR,verified_override,2017 Lei_42_2016-OE2017_VersaoDR.pdf,100,Data/input/finance_bills/Portugal/2017 Lei_42_2016-OE2017_VersaoDR.pdf,,"FUNDAÇÃO PARA A CIÊNCIA E TECNOLOGIA, I.P.",verified_against_original_file,,,Primary R&D funder from 1997. Amounts in full EUR (2002+) or PTE (pre-2002).; manual override from original Portugal budget file (2017 autonomous-services table)
2017,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),research_institute,57212675.0,euro,EUR,verified_override,2017 Lei_42_2016-OE2017_VersaoDR.pdf,119,Data/input/finance_bills/Portugal/2017 Lei_42_2016-OE2017_VersaoDR.pdf,,LABORATÓRIO NACIONAL DE ENGENHARIA CIVIL,verified_against_original_file,,,manual override from original Portugal budget file (MAPA VII / 2017 deterministic page-aligned parser)
2018,ANI — Agência Nacional de Inovação (Portugal),rd_agency,12233793.0,euro,EUR,verified_override,Lei orcamento para 2018.pdf,134,Data/input/finance_bills/Portugal/Lei orcamento para 2018.pdf,Data/output/budget/full_text/Portugal/pdf_3966bd0dd619__Lei orcamento para 2018.txt.gz,"AGENCIA NACIONAL DE INOVAÇAO, SA",verified_against_original_file,page_excerpt,"FUNDAÇÃO MUSEU NACIONAL FERROVIÁRIO ARMANDO GINESTAL MACHADO | INFRAESTRUTURAS DE PORTUGAL, S.A. | INSTITUTO DA MOBILIDADE E DOS TRANSPORTES | INSTITUTO DOS MERCADOS PUBLICOS, DO IMOBILIARIO E DA CONSTRUCAO | LABORATÓRIO NACIONAL DE ENGENHARIA CIVIL | METRO - MONDEGO, SA | AGENCIA NACIONAL DE INOVAÇAO, SA | AUTORIDADE DA CONCORRÊNCIA",manual override from original Portugal budget file (MAPA VII / 2018 deterministic page-aligned parser)
