year,canonical_name,category,amount_local,unit,currency,item_type,source_file,page_number,pdf_path,full_text_cache,line_description_en,traceability_status,trace_method,trace_excerpt,series_notes
2015,UCR (Universidad de Costa Rica),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2016,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2016,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2016,FEES (Fondo Especial de Educación Superior),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2016,INCIENSA (health and nutrition research),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2016,INTA (Instituto Nacional de Innovación y Transferencia en Tecnología Agropecuaria),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2016,ITCR / TEC (Instituto Tecnológico de Costa Rica),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2016,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)",rd_ministry,,,,,,,,,,covered_by_final_series,,,
2016,Promotora Costarricense de Innovación e Investigación (PCII),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2016,UCR (Universidad de Costa Rica),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2017,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),science_agency,27510000000.0,colon,CRC,verified_override,pdf_b7628d47c028__2017_Tomo1_Ley_de_presupuesto.txt,363,,,Verified against original Costa Rica budget file,verified_against_original_file,,,gap: no matching rows in this year; manual override from original Costa Rica budget file
2017,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),science_agency,,,,,,,,,,covered_by_final_series,,,Main competitive research funding body in Costa Rica.; manual override from original Costa Rica budget file
2017,FEES (Fondo Especial de Educación Superior),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2017,INCIENSA (health and nutrition research),science_agency,,,,,,,,,,covered_by_final_series,,,manual override from original Costa Rica budget file
